target_chembl_id,target_name,molecule_chembl_id,activity_type,activity_value,activity_units
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL325023,IC50,17600.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL60816,IC50,1200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL20867,IC50,200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL941,IC50,38.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL57581,IC50,50000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL21162,IC50,800.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL300817,IC50,1500.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL277931,IC50,400.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL57556,IC50,8000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL20252,IC50,200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL423288,IC50,5800.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL418279,IC50,200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL55683,IC50,61000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL59099,IC50,400.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL57443,IC50,600.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL56669,IC50,200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL58436,IC50,1000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL59036,IC50,1000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL299707,IC50,1900.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL291963,IC50,3300.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL292866,IC50,3800.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL56671,IC50,5100.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL55379,IC50,370.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL55742,IC50,2000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL56904,IC50,100.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL418270,IC50,150.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL293991,IC50,350.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL418010,IC50,800.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL56359,IC50,300.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL20926,IC50,400.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL278103,IC50,1500.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL57690,IC50,1800.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL55662,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL55592,IC50,500.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL57553,IC50,700.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL56081,IC50,34000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL58142,IC50,450.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL58580,IC50,1300.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL332612,IC50,1180.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL118904,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL332333,IC50,1960.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL332882,IC50,3090.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL120979,IC50,3400.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL122243,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL122245,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL153843,IC50,2820.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL332765,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL121796,IC50,6600.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL121190,IC50,410.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL331906,IC50,180.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL332906,IC50,3600.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL122068,IC50,410.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL333231,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL332971,IC50,16500.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL120703,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL123189,IC50,3500.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL420885,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL334026,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL333038,IC50,1980.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL119982,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL120319,IC50,1360.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL121260,IC50,1360.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL121954,IC50,260.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL24828,IC50,86.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL276711,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL122411,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL29197,IC50,30.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL75232,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL122182,IC50,150.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL347537,IC50,5330.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL120069,IC50,1650.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL119977,IC50,3760.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL118130,IC50,240.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL2111784,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL343050,IC50,72000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL137653,IC50,95900.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL120185,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL121405,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL327958,IC50,7400.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL137706,IC50,5000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL405059,IC50,25700.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL118258,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL421929,IC50,6000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL136289,IC50,26000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL539942,IC50,46200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL185775,IC50,930.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL68920,IC50,300.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL69960,IC50,400.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL67057,IC50,100.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL65848,IC50,5000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL69629,IC50,100.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL66570,IC50,100.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL305194,IC50,5000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL67003,IC50,100.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL305246,IC50,200.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL69966,IC50,40.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL69358,IC50,200.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL69071,IC50,500.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL264382,IC50,40.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL136058,IC50,5.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL939,IC50,1604.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL95320,IC50,11750.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL545315,IC50,9.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL434827,IC50,14.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL31965,IC50,529.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL138940,IC50,24.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL95774,IC50,1692.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL553,IC50,18520.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL334801,IC50,13.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL99024,IC50,14700.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL140561,IC50,110.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL342828,IC50,8.1,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL345109,IC50,207.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL607707,IC50,1229.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL125401,IC50,25000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL300936,IC50,25000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL428690,IC50,15800.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL14932,IC50,263.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL15346,IC50,95.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL15202,IC50,309.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL554,IC50,9.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL14627,IC50,117.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL460731,IC50,210.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL514436,IC50,10.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL14952,IC50,234.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL273789,IC50,977.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL517907,IC50,234.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL460732,IC50,147.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL540701,IC50,347.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL493428,IC50,19.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL14874,IC50,1778.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL160846,IC50,14.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL422347,IC50,48.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL160303,IC50,28.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL269620,IC50,550.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL155761,IC50,14.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL157084,IC50,200.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL55993,IC50,50118.72,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL55360,IC50,33884.42,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56731,IC50,41686.94,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL333454,IC50,1659.59,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL122522,IC50,2511.89,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56219,IC50,57543.99,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL118205,IC50,1513.56,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL116595,IC50,128.82,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL324030,IC50,8709.64,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL417941,IC50,16982.44,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL326100,IC50,251.19,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56542,IC50,4897.79,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL293749,IC50,22908.68,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL143212,IC50,4570.88,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL440298,IC50,501187.23,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL326318,IC50,10000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL1161234,IC50,15848.93,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL281872,IC50,100000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL116423,IC50,58884.37,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56319,IC50,331131.12,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL53898,IC50,34673.69,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56393,IC50,16982.44,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL1161236,IC50,4570.88,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL143805,IC50,2884.03,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL296407,IC50,6456.54,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL118321,IC50,10000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL115895,IC50,3311.31,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56879,IC50,3019.95,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL331026,IC50,6165.95,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL140213,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL533849,IC50,20000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL115519,IC50,15135.61,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL119156,IC50,707.95,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL119987,IC50,446.68,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL54471,IC50,10000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL55979,IC50,37153.52,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL141238,IC50,20892.96,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL59145,IC50,12022.64,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL118109,IC50,346.74,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL1161235,IC50,91201.08,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL55994,IC50,34673.69,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL334032,IC50,17378.01,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL55204,IC50,12882.5,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL57251,IC50,165958.69,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56543,IC50,13489.63,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL56132,IC50,18197.01,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL120564,IC50,112201.85,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL432428,IC50,1023.29,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL141175,IC50,1995.26,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL113996,IC50,31430.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL325156,IC50,9580.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL114593,IC50,300.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL116857,IC50,9350.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL326280,IC50,380.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL117326,IC50,1210.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL115440,IC50,450.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL116012,IC50,33950.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL30973,IC50,4160.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL113985,IC50,23590.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL327023,IC50,1040.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL115187,IC50,370.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL283682,IC50,3870.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL332497,IC50,34130.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL421047,IC50,4130.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL113901,IC50,11820.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL281300,IC50,1630.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL157128,IC50,1220.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL116853,IC50,180.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL114728,IC50,2970.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL326811,IC50,4500.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL114073,IC50,33950.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL116525,IC50,2120.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL323630,IC50,1950.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL288441,IC50,2600.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL424252,IC50,7800.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL324718,IC50,4680.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL114490,IC50,4490.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL113902,IC50,21510.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL114392,IC50,4390.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL113900,IC50,320.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL118000,IC50,8740.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL263788,IC50,5660.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL414631,IC50,380.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL327188,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL96633,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL93262,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL92395,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL96096,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL92729,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL96081,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL94846,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL92339,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL330351,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL330657,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL329244,IC50,1000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL131577,IC50,25000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL296468,IC50,25000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL281006,IC50,97.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL30432,IC50,97.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL87084,IC50,10000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL32464,IC50,1300.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL287591,IC50,1300.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL31615,IC50,27000.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL31653,IC50,1860.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL31108,IC50,350.0,nM
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,CHEMBL416031,IC50,290.0,nM
CHEMBL1820,Thymidine kinase,CHEMBL31634,IC50,300.0,nM
CHEMBL1820,Thymidine kinase,CHEMBL2368961,IC50,34000.0,nM
CHEMBL1820,Thymidine kinase,CHEMBL3143229,IC50,3100.0,nM
CHEMBL1820,Thymidine kinase,CHEMBL2367583,IC50,2900.0,nM
CHEMBL1820,Thymidine kinase,CHEMBL3143225,IC50,102000.0,nM
CHEMBL1820,Thymidine kinase,CHEMBL1231486,IC50,3500.0,nM
